Artist,TPR,FPR,TNR,FNR
Zakk Wylde,0.0,0.455,0.545,1.0
Blue Oyster Cult,1.0,0.0,1.0,0.0
Biohazard,0.0,0.434,0.566,1.0
Yoko Ono,0.25,0.073,0.927,0.75
Wilson Pickett,1.0,0.368,0.632,0.0
Wild Strawberries,1.0,0.087,0.913,0.0
Whitney Houston,0.75,0.4,0.6,0.25
Warren Zevon,1.0,0.022,0.978,0.0
Voivod,0.833,0.0,1.0,0.167
Uncle Tupelo,1.0,0.4,0.6,0.0
Triangle,0.75,0.342,0.658,0.25
Tim Deluxe,0.75,0.2,0.8,0.25
Thin Lizzy,0.429,0.233,0.767,0.571
Thievery Corporation,0.0,0.481,0.519,1.0
The Zombies,1.0,0.378,0.622,0.0
The Weather Girls,1.0,0.375,0.625,0.0
The Waybacks,1.0,0.036,0.964,0.0
The Trammps,N/A,0.136,0.864,N/A
The Subhumans,N/A,0.133,0.867,N/A
The Skatalites,N/A,0.049,0.951,N/A
THERION,0.0,0.237,0.762,1.0
The Mutton Birds,N/A,0.115,0.885,N/A
The Mission,N/A,0.324,0.676,N/A
The Mamas & The Papas,1.0,0.206,0.794,0.0
The Juan MacLean,N/A,0.324,0.676,N/A
Zee Avi,N/A,0.231,0.769,N/A
MNEMIC,1.0,0.043,0.957,0.0
Rod Lee,1.0,0.167,0.833,0.0
Colin Meloy,0.333,0.062,0.938,0.667
