,chord_name,chord_tension,chord_theta,color_change,tension_change,freshness
0,Cmajor/G,10,55.0,0.0,0,0.0
1,Cmajor/G,10,55.0,0.0,0,0.0
2,Cmajor/G,10,55.0,0.0,0,0.0
3,Fmajor/A,10,85.0,5.176380902050416,0,5.176380902050416
4,Cmajor/G,10,55.0,5.176380902050416,0,5.176380902050416
5,Fmajor/A,10,85.0,5.176380902050416,0,5.176380902050416
6,Abmajor/C,10,175.0,14.142135623730951,0,14.142135623730951
7,Cmajor/G,10,55.0,17.32050807568877,0,17.32050807568877
8,Fmajor/A,10,85.0,5.176380902050416,0,5.176380902050416
9,Fminor/C,10,155.0,11.471528727020921,0,11.471528727020921
10,Cmajor/G,10,55.0,15.32088886237956,0,15.32088886237956
11,Aminor,10,35.0,3.472963553338607,0,3.472963553338607
12,Dmajor/A,10,355.0,6.840402866513376,0,6.840402866513376
13,Gmajor/D,10,25.0,5.1763809020504175,0,5.1763809020504175
14,Cmajor/G,10,55.0,5.176380902050414,0,5.176380902050414
15,Fminor/C,10,155.0,15.32088886237956,0,15.32088886237956
16,Cmajor/G,10,55.0,15.32088886237956,0,15.32088886237956
17,Gmajor/D,10,25.0,5.176380902050414,0,5.176380902050414
18,Cmajor/G,10,55.0,5.176380902050414,0,5.176380902050414
19,Cmajor/G,10,55.0,0.0,0,0.0
20,Fmajor/A,10,85.0,5.176380902050416,0,5.176380902050416
21,Fminor/C,10,155.0,11.471528727020921,0,11.471528727020921
22,Cmajor/G,10,55.0,15.32088886237956,0,15.32088886237956
23,Aminor,10,35.0,3.472963553338607,0,3.472963553338607
24,Dmajor/A,10,355.0,6.840402866513376,0,6.840402866513376
25,Gmajor/D,10,25.0,5.1763809020504175,0,5.1763809020504175
26,Cmajor/G,10,55.0,5.176380902050414,0,5.176380902050414
27,Fmajor/A,10,85.0,5.176380902050416,0,5.176380902050416
28,Fminor/C,10,155.0,11.471528727020921,0,11.471528727020921
29,Cmajor/G,10,55.0,15.32088886237956,0,15.32088886237956
30,Gmajor/D,10,25.0,5.176380902050414,0,5.176380902050414
31,Cmajor/G,10,55.0,5.176380902050414,0,5.176380902050414
32,Fmajor/A,10,85.0,5.176380902050416,0,5.176380902050416
33,Eminor/G,10,5.0,12.855752193730787,0,12.855752193730787
34,Aminor,10,35.0,5.176380902050416,0,5.176380902050416
35,Dminor/A,10,65.0,5.176380902050414,0,5.176380902050414
36,Gmajor/D,10,25.0,6.840402866513373,0,6.840402866513373
37,Cmajor/G,10,55.0,5.176380902050414,0,5.176380902050414
38,Fmajor/A,10,85.0,5.176380902050416,0,5.176380902050416
39,Fminor/C,10,155.0,11.471528727020921,0,11.471528727020921
40,Eminor/G,10,5.0,19.318516525781362,0,19.318516525781362
41,Aminor,10,35.0,5.176380902050416,0,5.176380902050416
42,Dminor/A,10,65.0,5.176380902050414,0,5.176380902050414
43,Gmajor/D,10,25.0,6.840402866513373,0,6.840402866513373
44,Cmajor/G,10,55.0,5.176380902050414,0,5.176380902050414
45,Fmajor/A,10,85.0,5.176380902050416,0,5.176380902050416
46,Cmajor/G,10,55.0,5.176380902050416,0,5.176380902050416
47,Aminor,10,35.0,3.472963553338607,0,3.472963553338607
48,Dminor/A,10,65.0,5.176380902050414,0,5.176380902050414
49,Gmajor/D,10,25.0,6.840402866513373,0,6.840402866513373
50,Cmajor/G,10,55.0,5.176380902050414,0,5.176380902050414
51,Fmajor/A,10,85.0,5.176380902050416,0,5.176380902050416
52,Fminor/C,10,155.0,11.471528727020921,0,11.471528727020921
53,Cmajor/G,10,55.0,15.32088886237956,0,15.32088886237956
54,Aminor,10,35.0,3.472963553338607,0,3.472963553338607
55,Dmajor/A,10,355.0,6.840402866513376,0,6.840402866513376
56,Gmajor/D,10,25.0,5.1763809020504175,0,5.1763809020504175
57,Cmajor/G,10,55.0,5.176380902050414,0,5.176380902050414
58,Fmajor/A,10,85.0,5.176380902050416,0,5.176380902050416
59,Fminor/C,10,155.0,11.471528727020921,0,11.471528727020921
60,Cmajor/G,10,55.0,15.32088886237956,0,15.32088886237956
61,Gmajor/D,10,25.0,5.176380902050414,0,5.176380902050414
62,Cmajor/G,10,55.0,5.176380902050414,0,5.176380902050414
63,Fmajor/A,10,85.0,5.176380902050416,0,5.176380902050416
64,Gmajor/D,10,25.0,9.999999999999998,0,9.999999999999998
65,Eminor/G,10,5.0,3.4729635533386074,0,3.4729635533386074
66,Aminor,10,35.0,5.176380902050416,0,5.176380902050416
67,Dminor/A,10,65.0,5.176380902050414,0,5.176380902050414
68,Gmajor/D,10,25.0,6.840402866513373,0,6.840402866513373
69,Cmajor/G,10,55.0,5.176380902050414,0,5.176380902050414
70,Fmajor/A,10,85.0,5.176380902050416,0,5.176380902050416
71,Fminor/C,10,155.0,11.471528727020921,0,11.471528727020921
72,Eminor/G,10,5.0,19.318516525781362,0,19.318516525781362
73,Aminor,10,35.0,5.176380902050416,0,5.176380902050416
74,Dminor/A,10,65.0,5.176380902050414,0,5.176380902050414
75,Gmajor/D,10,25.0,6.840402866513373,0,6.840402866513373
76,Cmajor/G,10,55.0,5.176380902050414,0,5.176380902050414
77,Fmajor/A,10,85.0,5.176380902050416,0,5.176380902050416
78,Gmajor/D,10,25.0,9.999999999999998,0,9.999999999999998
79,Eminor/G,10,5.0,3.4729635533386074,0,3.4729635533386074
80,Aminor,10,35.0,5.176380902050416,0,5.176380902050416
81,Dminor/A,10,65.0,5.176380902050414,0,5.176380902050414
82,Gmajor/D,10,25.0,6.840402866513373,0,6.840402866513373
83,Cmajor/G,10,55.0,5.176380902050414,0,5.176380902050414
84,Fmajor/A,10,85.0,5.176380902050416,0,5.176380902050416
85,Fminor/C,10,155.0,11.471528727020921,0,11.471528727020921
86,Eminor/G,10,5.0,19.318516525781362,0,19.318516525781362
87,Ebmajor/G,10,145.0,18.79385241571817,0,18.79385241571817
88,Ebmajor/G,10,145.0,0.0,0,0.0
89,Dminor/A,10,65.0,12.855752193730789,0,12.855752193730789
90,Gmajor/D,10,25.0,6.840402866513373,0,6.840402866513373
91,Cmajor/G,10,55.0,5.176380902050414,0,5.176380902050414
92,Fmajor/A,10,85.0,5.176380902050416,0,5.176380902050416
93,Fminor/C,10,155.0,11.471528727020921,0,11.471528727020921
94,Fminor/C,10,155.0,0.0,0,0.0
95,Cmajor/G,10,55.0,15.32088886237956,0,15.32088886237956
96,Cmajor/G,10,55.0,0.0,0,0.0
97,Cmajor/G,10,55.0,0.0,0,0.0
