Artist,Song,Outlier,Outlier Category,
Zakk Wylde,,,,
,Throwin' It All Away,0,Normal,
,Peddlers Of Death,0,Normal,
,Too Numb To Cry,0,Normal,
,The Color Green,1,Error,
Blue Oyster Cult,,,,
,Dr. Music,0,Normal,
,Buck's Boogie,0,Normal,
,7 Screaming Diz-Busters,0,Normal,
,Shadows - Original,1,Genuine,
,Out Of Stadion - Original,1,Genuine,
,Remodeling - Original,1,Genuine,
,Ginger Snaps - Original,1,Genuine,
Biohazard,,,,
,Pain,0,Normal,
,Justified Violence,0,Normal,
,Business (Remastered) (Album Version),0,Normal,
,German Lesson No.7 (Live),1,Speech,
,Letter go,1,"Genuine, Instrumental",
,Intro,1,Intro,
Yoko Ono,,,,
,You're The One (Claude Le Gache Vocal Mix),0,Normal,
,Every Man Has A Woman Who Loves Him (2000 Digital Remaster),0,Normal,
,Walking On Thin Ice (Felix Da Housecat Tribute Mix),0,Normal,
,Let Me Count The Ways (2001 Digital Remaster),1,Genuine,
,Hard Times Are Over (2000 Digital Remaster),1,Genuine,
,Revelations,1,Genuine,
,Where Do We Go From Here,1,Genuine,
Wilson Pickett,,,,
,Mercy_ Mercy (LP Version),0,Normal,
,Mojo Mama [LP Version],0,Normal,
,My Own Style Of Loving (LP Version),0,Normal,
,A Funky Situation,1,Error,
,Engine Number 9,1,Error,
,Don't Knock My Love - Pt. II,1,"Error, Instrumental",
,Pledging My Love (LP Version),1,Genuine,
Wild Strawberries,,,,
,Debutante,0,Normal,
,Easter Morning,0,Normal,
,Give It Up,0,Normal,
,Noise2,1,Noise,
,Noise1,1,Noise,
,Noise4,1,Noise,
,Wake,1,Genuine,
Whitney Houston,,,,
,Where Do Broken Hearts Go,0,Normal,
,How Will I Know,0,Normal,
,Who Do You Love,0,Normal,
,Love Will Save The Day,1,Error,
,I Look To You,1,Genuine,
,I Didn't Know My Own Strength,1,Genuine,
,Salute,1,Genuine,
Warren Zevon,,,,
,Mohammed's Radio (2007 Remastered Live LP Version),0,Normal,
,Poisonous Lookalike,0,Normal,
,Something Bad Happened To A Clown,0,Normal,
,Jesus Was A Cross Make,1,Genuine,
,Interlude No. 1 (LP Version),1,"Genuine, Instrumental",
,Interlude No. 2 (LP Version),1,"Genuine, Instrumental",
,Hasten Down The Wind [Band Demo],1,Genuine,
,Renegade,1,Genuine,
Voivod,,,,
,The Tower,0,Normal,
,Insect,0,Normal,
,Helldriver (Morgoth Invasion - Live Demo - December 1984),0,Normal,
,Catalepsy I,1,Sound Effect,
,War And Pain (Morgoth Invasion - Live Demo - December 1984),1,"Instrumental, Speech",
,Temps Mort,1,Sound Effect,
,Nuclear War (Remastered),1,Genuine,
,Catalepsy II,1,Sound Effect,
