Artist,Title,Outlier,Category
Zakk Wylde,Throwin' It All Away,0.0,Normal
Zakk Wylde,Peddlers Of Death,0.0,Normal
Zakk Wylde,Too Numb To Cry,0.0,Normal
Zakk Wylde,The Color Green,1.0,Error
Blue Oyster Cult,Dr. Music,0.0,Normal
Blue Oyster Cult,Buck's Boogie,0.0,Normal
Blue Oyster Cult,7 Screaming Diz-Busters,0.0,Normal
Blue Oyster Cult,Shadows - Original,1.0,Genuine
Blue Oyster Cult,Out Of Stadion - Original,1.0,Genuine
Blue Oyster Cult,Remodeling - Original,1.0,Genuine
Blue Oyster Cult,Ginger Snaps - Original,1.0,Genuine
Biohazard,Pain,0.0,Normal
Biohazard,Justified Violence,0.0,Normal
Biohazard,Business (Remastered) (Album Version),0.0,Normal
Biohazard,German Lesson No.7 (Live),1.0,Speech
Biohazard,Letter go,1.0,"Genuine, Instrumental"
Biohazard,Intro,1.0,Intro
Yoko Ono,You're The One (Claude Le Gache Vocal Mix),0.0,Normal
Yoko Ono,Every Man Has A Woman Who Loves Him (2000 Digital Remaster),0.0,Normal
Yoko Ono,Walking On Thin Ice (Felix Da Housecat Tribute Mix),0.0,Normal
Yoko Ono,Let Me Count The Ways (2001 Digital Remaster),1.0,Genuine
Yoko Ono,Hard Times Are Over (2000 Digital Remaster),1.0,Genuine
Yoko Ono,Revelations,1.0,Genuine
Yoko Ono,Where Do We Go From Here,1.0,Genuine
Wilson Pickett,Mercy_ Mercy (LP Version),0.0,Normal
Wilson Pickett,Mojo Mama [LP Version],0.0,Normal
Wilson Pickett,My Own Style Of Loving (LP Version),0.0,Normal
Wilson Pickett,A Funky Situation,1.0,Error
Wilson Pickett,Engine Number 9,1.0,Error
Wilson Pickett,Don't Knock My Love - Pt. II,1.0,"Error, Instrumental"
Wilson Pickett,Pledging My Love (LP Version),1.0,Genuine
Wild Strawberries,Debutante,0.0,Normal
Wild Strawberries,Easter Morning,0.0,Normal
Wild Strawberries,Give It Up,0.0,Normal
Wild Strawberries,Noise2,1.0,Noise
Wild Strawberries,Noise1,1.0,Noise
Wild Strawberries,Noise4,1.0,Noise
Wild Strawberries,Wake,1.0,Genuine
Whitney Houston,Where Do Broken Hearts Go,0.0,Normal
Whitney Houston,How Will I Know,0.0,Normal
Whitney Houston,Who Do You Love,0.0,Normal
Whitney Houston,Love Will Save The Day,1.0,Error
Whitney Houston,I Look To You,1.0,Genuine
Whitney Houston,I Didn't Know My Own Strength,1.0,Genuine
Whitney Houston,Salute,1.0,Genuine
Warren Zevon,Mohammed's Radio (2007 Remastered Live LP Version),0.0,Normal
Warren Zevon,Poisonous Lookalike,0.0,Normal
Warren Zevon,Something Bad Happened To A Clown,0.0,Normal
Warren Zevon,Jesus Was A Cross Make,1.0,Genuine
Warren Zevon,Interlude No. 1 (LP Version),1.0,"Genuine, Instrumental"
Warren Zevon,Interlude No. 2 (LP Version),1.0,"Genuine, Instrumental"
Warren Zevon,Hasten Down The Wind [Band Demo],1.0,Genuine
Warren Zevon,Renegade,1.0,Genuine
Voivod,The Tower,0.0,Normal
Voivod,Insect,0.0,Normal
Voivod,Helldriver (Morgoth Invasion - Live Demo - December 1984),0.0,Normal
Voivod,Catalepsy I,1.0,Sound Effect
Voivod,War And Pain (Morgoth Invasion - Live Demo - December 1984),1.0,"Instrumental, Speech"
Voivod,Temps Mort,1.0,Sound Effect
