,0
0,-60.0
1,-14.063
2,-14.214
3,-11.355
4,-58.96
5,-12.078
6,-14.92
7,-11.971
8,-9.302
9,-6.614
10,-60.0
11,-23.275
12,-15.988
13,-13.04
14,-24.169
15,-15.787
16,-17.573
17,-15.627
18,-60.0
19,-25.329
20,-25.026
21,-17.875
22,-25.915
23,-10.927
24,-16.393
25,-28.228
26,-27.408
27,-40.112
28,-17.848
29,-28.11
30,-29.678
31,-20.229
32,-22.688
33,-18.956
34,-27.704
35,-16.289
36,-16.002
37,-24.059
38,-14.05
39,-18.034
40,-35.536
41,-28.977
42,-20.568
43,-18.303
44,-36.013
45,-13.637
46,-13.548
47,-12.553
48,-12.791
49,-14.436
50,-12.577
51,-20.975
52,-19.609
53,-12.715
54,-15.139
55,-13.005
56,-19.449
57,-13.118
58,-11.578
59,-12.879
60,-7.971
61,-23.505
62,-13.403
63,-19.682
64,-56.366
65,-29.564
66,-15.203
67,-23.408
68,-30.582
69,-20.161
70,-23.445
71,-21.374
72,-21.866
73,-28.321
74,-21.252
75,-22.264
76,-14.227
77,-17.482
78,-21.07
79,-15.084
80,-18.215
81,-22.659
82,-19.536
83,-59.284
84,-24.957
85,-20.652
86,-19.364
87,-22.286
88,-18.461
89,-19.712
90,-27.96
91,-53.783
92,-15.12
93,-12.35
94,-16.285
95,-13.342
96,-16.889
97,-18.712
98,-20.937
99,-9.995
100,-60.0
101,-34.672
102,-16.89
103,-20.12
104,-28.683
105,-29.179
106,-18.861
107,-60.0
108,-44.037
109,-60.0
110,-16.974
111,-15.407
112,-12.707
113,-16.515
114,-15.332
115,-13.203
116,-15.606
117,-19.843
118,-59.417
119,-19.101
120,-20.441
121,-25.319
122,-15.894
123,-26.459
124,-20.743
125,-60.0
126,-13.934
127,-17.601
128,-18.306
129,-17.758
130,-12.129
131,-13.155
132,-13.701
133,-17.444
134,-15.46
135,-12.877
136,-22.735
137,-12.571
138,-23.077
139,-16.595
140,-44.817
141,-22.454
142,-17.678
143,-18.232
144,-17.534
145,-20.152
146,-13.58
147,-14.42
148,-19.115
149,-16.864
150,-20.978
151,-27.948
152,-24.925
153,-10.422
154,-22.238
155,-18.915
156,-11.035
157,-21.378
158,-60.0
159,-30.131
160,-36.287
161,-39.245
162,-16.541
163,-12.587
164,-44.03
165,-14.606
166,-60.0
167,-54.145
168,-23.273
169,-20.535
170,-20.453
171,-14.73
172,-19.201
173,-26.824
174,-28.67
175,-60.0
176,-34.089
177,-16.456
178,-31.055
179,-20.555
180,-13.805
181,-19.401
182,-15.714
183,-15.335
184,-25.082
185,-60.0
186,-17.31
187,-14.854
188,-15.658
189,-16.047
190,-16.072
191,-16.498
192,-12.74
193,-10.613
194,-20.122
195,-15.129
196,-18.741
197,-60.0
198,-21.769
199,-18.243
200,-17.601
201,-27.909
202,-17.253
203,-44.7
204,-23.822
205,-12.129
206,-28.819
207,-36.873
208,-19.252
209,-20.564
210,-20.717
211,-22.722
212,-22.816
213,-17.173
214,-15.916
215,-21.221
216,-15.745
217,-13.633
218,-23.507
219,-19.719
220,-18.281
221,-14.427
222,-30.482
223,-60.0
224,-23.77
225,-26.183
226,-16.707
227,-22.343
228,-23.798
229,-18.18
230,-26.19
231,-60.0
232,-19.242
233,-18.178
234,-31.387
235,-16.721
236,-11.652
237,-17.181
238,-22.197
239,-23.138
240,-22.142
