pattern,chord,songs,frequency
"('Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj')",| Amaj . . . | | Amaj . . . | | Amaj . . . | | Amaj . . . |,12,54
"('Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin')",| Amin . . . | | Amin . . . | | Amin . . . | | Amin . . . |,7,21
"('Dmaj', 'Dmaj', 'Dmaj', 'Dmaj', 'Dmaj', 'Dmaj', 'Dmaj', 'Dmaj', 'Dmaj', 'Dmaj', 'Dmaj', 'Dmaj', 'Dmaj', 'Dmaj', 'Dmaj', 'Dmaj')",| Dmaj . . . | | Dmaj . . . | | Dmaj . . . | | Dmaj . . . |,3,5
"('Fmaj', 'Fmaj', 'Fmaj', 'Fmaj', 'Fmaj', 'Fmaj', 'Fmaj', 'Fmaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj')",| Fmaj . . . | | Fmaj . . . | | Amaj . . . | | Amaj . . . |,2,10
"('Emaj', 'Emaj', 'Emaj', 'Emaj', 'Emaj', 'Emaj', 'Emaj', 'Emaj', 'Emaj', 'Emaj', 'Emaj', 'Emaj', 'Emaj', 'Emaj', 'Emaj', 'Emaj')",| Emaj . . . | | Emaj . . . | | Emaj . . . | | Emaj . . . |,2,3
"('Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Cmaj', 'Cmaj', 'Cmaj', 'Cmaj')",| Amaj . . . | | Amaj . . . | | Amaj . . . | | Cmaj . . . |,2,6
"('Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Dmin', 'Dmin', 'Dmin', 'Dmin', 'Gmaj', 'Gmaj', 'Gmaj', 'Gmaj')",| Amin . . . | | Amin . . . | | Dmin . . . | | Gmaj . . . |,2,10
"('Gmaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Fmaj', 'Fmaj', 'Fmaj', 'Fmaj', 'Dmin', 'Dmin', 'Dmin', 'Dmin')",| Gmaj Amaj . . | | Amaj . . . | | Fmaj . . . | | Dmin . . . |,1,2
"('Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amin', 'Amin', 'Amin')",| Amaj . . . | | Amaj . . . | | Amaj . . . | | Amaj Amin . . |,1,2
"('Dmin', 'Dmin', 'Dmin', 'Dmin', 'Dmin', 'Amin', 'Amin', 'Amaj', 'Amaj', 'Amaj', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Gmaj')",| Dmin . . . | | Dmin Amin . Amaj | | Amaj . Amin . | | Amin . . Gmaj |,1,1
"('Amin', 'Amin', 'Amin', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Gmaj')",| Amin . . Amaj | | Amaj . . . | | Amaj . . . | | Amaj . . Gmaj |,1,1
