,pattern,frequency
87,"('Fmaj', 'Cmaj', 'Fmaj', 'Cmaj')",53
86,"('Cmaj', 'Fmaj', 'Cmaj', 'Fmaj')",50
68,"('Gmaj', 'Amin', 'Gmaj', 'Amin')",38
85,"('Gmaj', 'Cmaj', 'Gmaj', 'Cmaj')",35
50,"('Fmaj', 'Gmaj', 'Amin', 'Fmaj')",34
110,"('Amin', 'Gmaj', 'Amin', 'Gmaj')",33
131,"('Cmaj', 'Gmaj', 'Cmaj', 'Gmaj')",25
156,"('Dmin', 'Gmaj', 'Dmin', 'Gmaj')",24
158,"('Gmaj', 'Dmin', 'Gmaj', 'Dmin')",23
108,"('Gmaj', 'Fmaj', 'Gmaj', 'Amin')",22
122,"('Gmaj', 'Cmaj', 'Fmaj', 'Gmaj')",20
486,"('Emin', 'Cmaj', 'Emin', 'Cmaj')",20
277,"('Bbmaj', 'Cmaj', 'Bbmaj', 'Cmaj')",20
92,"('Bbmaj', 'Fmaj', 'Bbmaj', 'Fmaj')",19
7,"('Emin', 'Emaj', 'Emin', 'Emaj')",19
120,"('Gmaj', 'Amin', 'Fmaj', 'Gmaj')",19
109,"('Fmaj', 'Gmaj', 'Amin', 'Gmaj')",19
129,"('Fmaj', 'Gmaj', 'Fmaj', 'Gmaj')",18
113,"('Amin', 'Gmaj', 'Fmaj', 'Gmaj')",18
13,"('Gmaj', 'Amin', 'Gmaj', 'Fmaj')",18
6,"('Emaj', 'Emin', 'Emaj', 'Emin')",18
278,"('Cmaj', 'Bbmaj', 'Cmaj', 'Dmin')",17
83,"('Gmaj', 'Gmin', 'Gmaj', 'Gmin')",16
272,"('Dmin', 'Cmaj', 'Bbmaj', 'Cmaj')",16
121,"('Amin', 'Fmaj', 'Gmaj', 'Amin')",16
317,"('Cmin', 'Abmaj', 'Bbmaj', 'Gmin')",15
316,"('Gmin', 'Cmin', 'Abmaj', 'Bbmaj')",15
320,"('Bbmaj', 'Gmin', 'Cmin', 'Abmaj')",14
485,"('Cmaj', 'Emin', 'Cmaj', 'Emin')",14
282,"('Bbmaj', 'Cmaj', 'Dmin', 'Cmaj')",14
319,"('Abmaj', 'Bbmaj', 'Gmin', 'Cmin')",14
152,"('Gmin', 'Gmaj', 'Gmin', 'Gmaj')",14
288,"('Cmaj', 'Bbmaj', 'Cmaj', 'Bbmaj')",13
30,"('Dmaj', 'Dmin', 'Dmaj', 'Dmin')",13
594,"('Fmaj', 'Ebmaj', 'Fmaj', 'Ebmaj')",13
29,"('Dmin', 'Dmaj', 'Dmin', 'Dmaj')",13
263,"('Gmaj', 'Fmaj', 'Gmaj', 'Fmaj')",12
595,"('Ebmaj', 'Fmaj', 'Ebmaj', 'Fmaj')",12
279,"('Bbmaj', 'Cmaj', 'Dmin', 'Bbmaj')",11
49,"('Fmaj', 'Emaj', 'Fmaj', 'Emaj')",11
598,"('Fmaj', 'Cmaj', 'Bbmaj', 'Fmaj')",11
148,"('Fmaj', 'Gmaj', 'Cmaj', 'Fmaj')",11
149,"('Cmaj', 'Fmaj', 'Gmaj', 'Cmaj')",11
597,"('Bbmaj', 'Fmaj', 'Cmaj', 'Bbmaj')",10
71,"('Fmaj', 'Amin', 'Gmaj', 'Fmaj')",10
94,"('Dmin', 'Bbmaj', 'Dmin', 'Bbmaj')",9
375,"('Fmaj', 'Bbmaj', 'Fmaj', 'Bbmaj')",9
14,"('Amin', 'Gmaj', 'Fmaj', 'Amin')",9
401,"('Cmaj', 'Bbmaj', 'Fmaj', 'Cmaj')",9
298,"('Amin', 'Fmaj', 'Gmaj', 'Fmaj')",8
294,"('Cmaj', 'Dmin', 'Cmaj', 'Bbmaj')",8
275,"('Cmaj', 'Dmaj', 'Cmaj', 'Bbmaj')",8
55,"('Gmaj', 'Amin', 'Fmaj', 'Cmaj')",8
274,"('Bbmaj', 'Cmaj', 'Dmaj', 'Cmaj')",8
72,"('Gmaj', 'Fmaj', 'Amin', 'Gmaj')",8
389,"('Cmaj', 'Gmaj', 'Cmaj', 'Fmaj')",8
269,"('Gmaj', 'Amaj', 'Gmaj', 'Fmaj')",7
483,"('Cmaj', 'Emin', 'Emaj', 'Emin')",7
390,"('Gmaj', 'Cmaj', 'Fmaj', 'Cmaj')",7
583,"('Amin', 'Gmaj', 'Dmaj', 'Amin')",7
531,"('Cmaj', 'Bbmaj', 'Dmin', 'Cmaj')",7
416,"('Cmin', 'Cmaj', 'Cmin', 'Cmaj')",7
510,"('Fmaj', 'Cmaj', 'Fmaj', 'Gmaj')",7
54,"('Cmaj', 'Fmaj', 'Gmaj', 'Amin')",7
459,"('Cmaj', 'Emin', 'Cmaj', 'Fmaj')",7
509,"('Gmaj', 'Fmaj', 'Cmaj', 'Fmaj')",7
