id,artist,name,link,algo_outlier,outlier_class
TRCGADA128F93199B7,23 Skidoo,Shrine (Part 1 - A Winter Ritual),,1,
TRQKXLX128F93199B9,23 Skidoo,Mahakala (Part 1 - A Winter Ritual),,1,
TRAXNUO12903CE7EF3,310,Spawn Winds,,1,
TRWCMHE128F145C1CD,ARRESTED DEVELOPMENT,Time (Live) (Unplugged),,1,
TRWBIWQ12903D0EAF4,Across the Border,In our hand,,1,
TRGJXUS128F1498A3C,Aimee Mann,You're With Stupid Now,,1,
TRLNCNS128F92D11CA,Al Green,All Because,,1,
TRMZOFR128F42949B2,Al Martino,Close To You (1995 Digital Remaster),,1,
TRUDVDW128F92DAAF9,Al Petteway / Amy White,Loss,,1,
TRPVZCM128F932F437,Alec Empire,Pussy Heroin,,1,
TRWASMR128F932D746,Alec Empire,The Report,,1,
TRRHYXE12903CA6DC2,Alejandro Escovedo,Dos Hermandos/Two Brothers,,1,
TRDZRVK128F4263314,Alex Smoke,Intro,,1,
TRELTPR128F92FBC5B,Alex de Grassi,Hushabye,,1,
TRKFFUT128EF347EC6,Alexis Korner,Catcoke Rag,,1,
TRIKOZG12903CA9B3F,Alton Ellis,Someday,,1,
TROATWI128F92C9BC5,Amen Corner,Gin House - Live,,1,
TRIXRKF128F92E50AC,American Hi-Fi,Another Perfect Day (Live-Milwaukee),,1,
TRLWXFQ128F425FEFF,Amy Studt,Rose,,1,
TRVYEDM128F9342455,Ana Gabriel,Adios Mi chaparrita,,1,
TRNVYAG128F1473C5B,Andreas Johnson,Still My World,,1,
TRMMQRT128F930CA47,Andrew Gold,Latin - Phone Message,,1,
TRLMLQD128F42968D3,Angie Stone,Stoned Love (Intro),,1,
TRUVOAO12903C9D803,Anne Murray,Paths Of Victory,,1,
TRVNZBT128F1477B5F,Archie Bell and The Drells,I Don't Wanna Be A Playboy (LP Version),,1,
TRVVMHH128F92F178D,Argy Bargy,Vigilante,,1,
TRHQGRC128E078B4C7,Armand Van Helden,Business As Usual (Interlude),,1,
TRGVXVM128F4267FE8,Ashford & Simpson,"Don't Cost You Nothing (12"" Disco Mix)",,1,
TRZISVM128F4255C70,Asleep At The Wheel,Roll 'Em Floyd (Interpolating Rebecca/Roll 'Em Pete),,1,
TRAILXN12903CF101F,Asphyx,06/06/2006,,1,
TRSYRDT128F92F7B5A,Asylum Street Spankers,Read Thinner Books,,1,
TRVHHRT128F92F7B63,Asylum Street Spankers,Bathroom Break,,1,
TRZOHUB128F931AD0D,Atomic Hooligan,String Vest,,1,
TRNWLQN128F92CA7D3,Audio Bullys,Flickery Vision,,1,
TRBELAZ128F422B87F,Ayo,Girls,,1,
TREFTIM128F149E6AD,Aztec Camera,Over My Head,,1,
TRFDBKB128F1490590,Baaba Maal,Samba,,1,
TROHJGG12903CF92CD,Baaba Maal,International,,1,
TRGWRCY128F93018BB,Becoming The Archetype,St. Anne's Lullaby,,1,
TRZYXTP128F92FC6CD,Behemoth,...Of My Worship (Intro),,1,
TRWEEIJ128F1462E14,Belinda Carlisle,Stuff And Nonsense (Digitally Remastered '02),,1,
TRSNGJI128F932BA73,Belleruche,Anything You Want (Not That),,1,
TRAHPKH128F423764D,Ben E. King,You Made The Difference To My Life (LP Version),,1,
TRFPSPD128EF348C7F,Berlin,Tell Me Why (Astralasia Mix),,1,
TROHAXE128F422F359,Between The Buried And Me,Colorblind (Album Version),,1,
TRPTJJX12903CB1368,Big Audio Dynamite,Sony Dub,,1,
TREORIN12903CD7369,Big Star,Holocaust,,1,
TRVBCXH12903CD737B,Big Star,Nature Boy [Alternate Mix],,1,
TREYXOF128F427060A,Bill Withers,Let Me In Your Life,,1,
TRNNJMJ128F4278CA1,Billy Ray Cyrus,I Will,,1,
TRLALVP128F92EC00F,Biohazard,Intro,,1,
TRIZSLA128F423BC29,Biohazard,German Lesson No.7 (Live) (Album Version),,1,
TRYYAGO128F92EC041,Biohazard,Letter go,,1,
TRROFHS12903CAE09F,Birdsongs of the Mesozoic,Just Say Yes,,1,
TRUUQVU12903CAE7DF,Birdsongs of the Mesozoic,To A Random,,1,
TRKATYV128EF34DCB9,Black Uhuru,Party In Session,,1,
TREAMMT128F9309A70,Blaze,"Scene 5: The Dream ""We All Must Live Together",,1,
TRZXHZM128F14A218A,Blind Melon,Letters From A Porcupine,,1,
TRBANMH128E078A818,Bloodsimple,Plunder (Album Version),,1,
TRZXOTE128F933D967,Blue Oyster Cult,Remodeling - Original,,1,
TROHTCX128F933D965,Blue Oyster Cult,Shadows - Original,,1,
TRRMCTU128F14655EA,Blue Six,Music And Wine,,1,
TRYHBGI128F146E777,Bob Marley & The Wailers,Wisdom - Acoustic Demo,,1,
